book,chapter,verse,reference,text
Mark,1,1,Mark 1:1,神的儿子，耶稣基督福音的起头。
Mark,1,2,Mark 1:2,正如先知以赛亚 书上记着说： 看哪，我要差遣我的使者在你前面， 预备道路。
Mark,1,3,Mark 1:3,在旷野有人声喊着说： 预备主的道， 修直他的路。
Mark,1,4,Mark 1:4,照这话，约翰来了，在旷野施洗，传悔改的洗礼，使罪得赦。
Mark,1,5,Mark 1:5,犹太全地和耶路撒冷的人都出去到约翰那里，承认他们的罪，在约旦河里受他的洗。
Mark,1,6,Mark 1:6,约翰穿骆驼毛的衣服，腰束皮带，吃的是蝗虫、野蜜。
Mark,1,7,Mark 1:7,他传道说：「有一位在我以后来的，能力比我更大，我就是弯腰给他解鞋带也是不配的。
Mark,1,8,Mark 1:8,我是用水给你们施洗，他却要用圣灵给你们施洗。」
Mark,1,9,Mark 1:9,那时，耶稣从加利利的拿撒勒来，在约旦河里受了 约翰的洗。
Mark,1,10,Mark 1:10,他从水里一上来，就看见天裂开了，圣灵仿佛鸽子，降在他身上。
Mark,1,11,Mark 1:11,又有声音从天上来，说：「你是我的爱子，我喜悦你。」
Mark,1,12,Mark 1:12,圣灵就把耶稣催到旷野里去。
Mark,1,13,Mark 1:13,他在旷野四十天，受撒但的试探，并与野兽同在一处，且有天使来伺候他。
Mark,1,14,Mark 1:14,约翰下监以后，耶稣来到加利利，宣传 神的福音，
Mark,1,15,Mark 1:15,说：「日期满了， 神的国近了。你们当悔改，信福音！」
Mark,1,16,Mark 1:16,耶稣顺着加利利的海边走，看见西门和西门的兄弟安得烈在海里撒网；他们本是打鱼的。
Mark,1,17,Mark 1:17,耶稣对他们说：「来跟从我，我要叫你们得人如得鱼一样。」
Mark,1,18,Mark 1:18,他们就立刻舍了网，跟从了他。
Mark,1,19,Mark 1:19,耶稣稍往前走，又见西庇太的儿子雅各和雅各的兄弟约翰在船上补网。
Mark,1,20,Mark 1:20,耶稣随即招呼他们，他们就把父亲 西庇太和雇工人留在船上，跟从耶稣去了。
Mark,1,21,Mark 1:21,到了迦百农，耶稣就在安息日进了会堂教训人。
Mark,1,22,Mark 1:22,众人很希奇他的教训；因为他教训他们，正像有权柄的人，不像文士。
Mark,1,23,Mark 1:23,在会堂里，有一个人被污鬼附着。他喊叫说：
Mark,1,24,Mark 1:24,「拿撒勒人耶稣，我们与你有什么相干？你来灭我们吗？我知道你是谁，乃是 神的圣者。」
Mark,1,25,Mark 1:25,耶稣责备他说：「不要作声！从这人身上出来吧。」
Mark,1,26,Mark 1:26,污鬼叫那人抽了一阵风，大声喊叫，就出来了。
Mark,1,27,Mark 1:27,众人都惊讶，以致彼此对问说：「这是什么事？是个新道理啊！他用权柄吩咐污鬼，连污鬼也听从了他。」
Mark,1,28,Mark 1:28,耶稣的名声就传遍了加利利的四方。
Mark,1,29,Mark 1:29,他们一出会堂，就同着雅各、约翰，进了西门和安得烈的家。
Mark,1,30,Mark 1:30,西门的岳母正害热病躺着，就有人告诉耶稣。
Mark,1,31,Mark 1:31,耶稣进前拉着她的手，扶她起来，热就退了，她就服事他们。
